run_id,key,value,step,timestamp
circle loss,accuracy,0.9942938659058488,45,1751227694638
circle loss,accuracy,0.9957203994293866,46,1751227807758
circle loss,accuracy,0.992867332382311,47,1751227921147
circle loss,accuracy,0.9985734664764622,48,1751228036468
circle loss,accuracy,1,49,1751228155739
circle loss,accuracy,0.9957203994293866,50,1751228276238
circle loss,accuracy,0.9942938659058488,51,1751228389010
circle loss,accuracy,0.9985734664764622,52,1751228504666
circle loss,accuracy,0.9985734664764622,53,1751228631159
circle loss,accuracy,0.9957203994293866,54,1751228762896
circle loss,accuracy,1,55,1751228888615
circle loss,accuracy,1,56,1751229015200
circle loss,accuracy,1,57,1751229154193
circle loss,accuracy,1,58,1751229288940
circle loss,accuracy,1,59,1751229413729
circle loss,F1-score,0.7157894736380986,0,1751221844282
circle loss,F1-score,0.7436974789443589,1,1751221974298
circle loss,F1-score,0.7553648068194269,2,1751222107852
circle loss,F1-score,0.7597254004097082,3,1751222242684
circle loss,F1-score,0.7829181494178759,4,1751222375223
circle loss,F1-score,0.787735849008523,5,1751222502351
circle loss,F1-score,0.7940161104234265,6,1751222631387
circle loss,F1-score,0.8063725489709673,7,1751222760614
circle loss,F1-score,0.8179611649997885,8,1751222928873
circle loss,F1-score,0.8356481480990866,9,1751223059464
circle loss,F1-score,0.8290282902338433,10,1751223185006
circle loss,F1-score,0.8152562574005224,11,1751223311861
circle loss,F1-score,0.8595641645996215,12,1751223439217
circle loss,F1-score,0.8465227817253446,13,1751223564528
circle loss,F1-score,0.8543689319895186,14,1751223690017
circle loss,F1-score,0.8414481897137274,15,1751223829960
circle loss,F1-score,0.8701134930148726,16,1751223980413
circle loss,F1-score,0.8954081632155984,17,1751224103015
circle loss,F1-score,0.8955223880100245,18,1751224228293
circle loss,F1-score,0.8978562420688324,19,1751224355128
circle loss,F1-score,0.8924598268971536,20,1751224485097
circle loss,F1-score,0.9111675126404964,21,1751224638626
circle loss,F1-score,0.9124668434514673,22,1751224810483
circle loss,F1-score,0.913963328581919,23,1751224998846
circle loss,F1-score,0.9228650137241481,24,1751225162729
circle loss,F1-score,0.9399477806287708,25,1751225283866
circle loss,F1-score,0.9387755101539997,26,1751225403583
circle loss,F1-score,0.9456066945105249,27,1751225531523
circle loss,F1-score,0.947089947039823,28,1751225660293
circle loss,F1-score,0.9526387008970562,29,1751225793130
circle loss,F1-score,0.9679144384524584,30,1751225925590
circle loss,F1-score,0.9676549864726941,31,1751226059561
circle loss,F1-score,0.9802259886503024,32,1751226187260
circle loss,F1-score,0.9676549864726941,33,1751226307837
circle loss,F1-score,0.9733520336103516,34,1751226422744
circle loss,F1-score,0.981455064143741,35,1751226536500
circle loss,F1-score,0.9827586206393877,36,1751226653442
circle loss,F1-score,0.9855907780477091,37,1751226768417
circle loss,F1-score,0.9873417721016219,38,1751226882324
circle loss,F1-score,0.9875518671696446,39,1751226997386
circle loss,F1-score,0.9890109889607207,40,1751227112625
circle loss,F1-score,0.9864661653632463,41,1751227229452
circle loss,F1-score,0.9971346704368208,42,1751227345097
circle loss,F1-score,0.9910447760691112,43,1751227466387
circle loss,F1-score,0.9942028985004365,44,1751227582272
circle loss,F1-score,0.9943342775701166,45,1751227694638
circle loss,F1-score,0.9956458635201031,46,1751227807758
circle loss,F1-score,0.9926144755774791,47,1751227921147
circle loss,F1-score,0.9985141158486633,48,1751228036468
circle loss,F1-score,0.999999999949716,49,1751228155739
circle loss,F1-score,0.9958847736122791,50,1751228276238
circle loss,F1-score,0.994202898500437,51,1751228389010
circle loss,F1-score,0.9985895627141754,52,1751228504666
circle loss,F1-score,0.9985401459351101,53,1751228631159
circle loss,F1-score,0.995581737799486,54,1751228762896
circle loss,F1-score,0.9999999999497111,55,1751228888615
circle loss,F1-score,0.9999999999497033,56,1751229015200
circle loss,F1-score,0.9999999999497051,57,1751229154193
circle loss,F1-score,0.9999999999497151,58,1751229288940
circle loss,F1-score,0.9999999999497151,59,1751229413729
circle loss,precision,0.5573770491802365,0,1751221844282
circle loss,precision,0.5989847715735027,1,1751221974298
circle loss,precision,0.6143106457241511,2,1751222107852
circle loss,precision,0.627599243856214,3,1751222242684
circle loss,precision,0.656063618290128,4,1751222375223
circle loss,precision,0.6536203522503613,5,1751222502351
circle loss,precision,0.667311411992134,6,1751222631387
circle loss,precision,0.6854166666665239,7,1751222760614
circle loss,precision,0.6991701244811828,8,1751222928873
circle loss,precision,0.726358148893214,9,1751223059464
circle loss,precision,0.7200854700853162,10,1751223185006
circle loss,precision,0.6993865030673416,11,1751223311861
circle loss,precision,0.7569296375264911,12,1751223439217
circle loss,precision,0.7431578947366857,13,1751223564528
circle loss,precision,0.7537473233403097,14,1751223690017
circle loss,precision,0.7310195227764141,15,1751223829960
circle loss,precision,0.7735426008966876,16,1751223980413
circle loss,precision,0.8124999999998119,17,1751224103015
circle loss,precision,0.8108108108106282,18,1751224228293
circle loss,precision,0.8146453089242988,19,1751224355128
